incident_number,Day and Month Reported,Year Reported,Police Shift,Offense Code,Offense Type,Offense Definition,Offense Sub-Category,Offense Category,Block Code,Ward,Source,Date,Time,Type,Description,latitude,longitude
22031486,6/5,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173505002001,6              ,August 1st 2022 - April 5th 2022 Crime News,6/5/22,6:02 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Irving St. for a past breaking and entering. Upon arrival, officers spoke with the victim who stated he has video footage from 6/4/22 – 6/5/22 that shows three individuals enter his garage. Nothing",42.400076791741746,-71.12308780726187
22031515,6/5,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173502023004,4              ,August 1st 2022 - April 5th 2022 Crime News,6/5/22,9:26 PM,Assault,"Somerville Police responded to 350 Broadway for a fight. Upon arrival, officers spoke with one of the victims who stated she was approached by a male outside of a store who began yelling and swearing at her. She then went to her vehicle and was followed by the male who attempted to spit on her. Shortly after, a male party intervened and the suspect attempted to punch him. Officers identified the male suspect. Assault Log May 18 to May 30 2022",42.39244172064042,-71.09550215045839
22031700,6/6,2022,First Half (4PM - Midnight),90Z,All Other Offenses,"All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",All Other Offenses,Other,250173513001006,3              ,August 1st 2022 - April 5th 2022 Crime News,6/6/22,8:00 AM,Attempted Residential Breaking and Entering,"Somerville Police responded to a residence in the area of Highland Ave. & Walnut St. for a past attempted breaking and entering. Upon arrival, officers spoke with the victim who stated she woke up and noticed her window was open. The victim reported her cat had gone missing.",42.38523873187607,-71.0953135731074
22032235,6/8,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173514042005,4              ,August 1st 2022 - April 5th 2022 Crime News,6/8/22,8:41 PM,Assault,"a juvenile male entered the station with his parents and stated while walking down Walnut St with his friends, they were approached by a group of juvenile males. The juvenile victims were then punched and",42.38735873350276,-71.09451564587461
22032236,6/8,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512032006,2              ,August 1st 2022 - April 5th 2022 Crime News,6/8/22,8:45 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Newton St for a past breaking and entering. Upon arrival, officers spoke with the victims who stated a contractor entered the home and took HVAC equipment.",42.37706788270556,-71.09674529013628
22032937,6/12,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173502023004,4              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,12:54 AM,Arrest,"Somerville Police responded to a business in the area of Broadway & Dartmouth St for report of a breaking and entering in progress. Upon arrival, officers spoke with the reporting party who stated a male party smashed the storefront window with a stick then fled down Dartmouth St. Officers then searched the area and located the suspect nearby who was in possession of cash stolen from the business. He was then placed under arrest.",42.39244172064042,-71.09550215045839
22032971,6/12,2022,Day Shift (8AM - 4PM),290,Destruction/Vandalism Property,"To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.",Destruction/Vandalism Property,Crimes against Property,250173514032003,1              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,9:03 AM,Arrest,"Somerville Police responded to the area of 160 Broadway for report of a male who was throwing rocks at a building. While en route, officers learned the same individual vandalized another nearby business as well as two motor vehicles. Officers located the male party nearby and he was placed",42.38786042223416,-71.08590245828734
22033002,6/12,2022,Day Shift (8AM - 4PM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173514032001,1              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,11:50 AM,Assault,a male victim entered the station and stated that he was assaulted at a restaurant in the area of Broadway & Cutter St the night prior. The victim stated he went to use the bathroom and was choked from behind,42.38669930610089,-71.08441637017262
22033004,6/12,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501071021,1              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,12:47 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Pennsylvania Ave for report of a drunk male who entered the apartment. Upon arrival, officers spoke with the victim who stated an intoxicated male entered his home then left after being told to leave. Officers located and identified the suspect on",42.38764072598305,-71.0818476206951
22033021,6/12,2022,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173510012009,2              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,2:21 PM,Assault,"Somerville Police responded to a business in the area of Beacon St & Eustis St for report of a fight. Upon arrival, officers spoke with the manager who stated two employees got into an argument then started",42.38328290895988,-71.11299324977765
22033077,6/12,2022,First Half (4PM - Midnight),90Z,All Other Offenses,"All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature.
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",All Other Offenses,Other,250173515002008,2              ,August 1st 2022 - April 5th 2022 Crime News,6/12/22,7:23 PM,Attempted Residential Breaking and Entering,"Somerville Police responded to a residence on Webster Ave for a past attempted breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke her door to her bedroom in an",42.37517127389458,-71.09448757956375
22033320,6/13,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501091017,1              ,August 1st 2022 - April 5th 2022 Crime News,6/13/22,8:56 PM,Assault,"Somerville Police responded to Wheatland St for report of a past assault. Upon arrival, officers spoke with the victim who stated while at the intersection of Fellsway & Jaques St, a male party came up behind her and grabbed her shoulders. The victim described the suspect as a 20-30 year old white male, around 5'8"", medium build with curly blonde hair, wearing a white shirt, black cargo pants, and carrying a bag.",42.39158180374814,-71.0878297365309
22033325,6/13,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501071015,1              ,August 1st 2022 - April 5th 2022 Crime News,6/13/22,9:39 PM,Assault,"Somerville Police responded to Mt. Vernon St for report of a past assault. Upon arrival, officers spoke with the victim who stated while at the intersection of Broadway & Cross St, a male party ran past her and punched her in the stomach. The victim described the suspect as a 20-30 year old white male, with blonde or brown ""poofy"" hair and carrying a backpack.",42.38918871380733,-71.08707039851853
22033774,6/16,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501071011,1              ,August 1st 2022 - April 5th 2022 Crime News,6/16/22,2:48 AM,Residential Breaking and Entering,"Somerville Police responded to a residence on Minnesota Ave for an attempted breaking and entering. Officers then learned the reporting party could hear someone in the basement. Upon arrival, officers located a male party in the basement. Nothing was reported stolen.",42.389237791295095,-71.08498446546673
22034019,6/17,2022,Last Half (Midnight - 8AM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501081004,4              ,August 1st 2022 - April 5th 2022 Crime News,6/18/22,5:21 AM,Assault,"Somerville Police responded to a residence on Jaques St for a past assault. Upon arrival, officers spoke with the victim who stated she was in a vehicle with her friend and another female party. The victim and the female party engaged in an argument and the female party punched the victim.",42.397016088874196,-71.09405180712419
22034128,6/17,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173501081004,4              ,August 1st 2022 - April 5th 2022 Crime News,6/17/22,6:20 PM,Armed Robbery,Somerville Police took a report of an armed robbery that occurred the day prior at 40 Memorial Rd at approximately 5–6 PM. The reporting party stated that her juvenile son and his friends were approached by a group of older kids who brandished a black gun with an orange tip as well as a knife. The suspects then stole a bike and snacks from the victims.,42.397016088874196,-71.09405180712419
22034151,6/17,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501061015,1              ,August 1st 2022 - April 5th 2022 Crime News,6/17/22,8:06 PM,Assault,"Somerville Police responded to AMC at 395 Artisan Way for report of an assault on a juvenile. Upon arrival, officers spoke with three male juveniles as well as a legal guardian. The juvenile victims stated they got into an argument with another juvenile male. During the argument, the juvenile suspect struck two of the juvenile victims. Officers identified the juvenile suspect.",42.39458122149659,-71.08008094022223
22035329,6/24,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173511012000,3              ,August 1st 2022 - April 5th 2022 Crime News,6/24/22,10:04 AM,Residential Breaking and Entering,"a male party entered the station and reported that the day prior, a male party known to him broke into his house in the area of Highland Ave & Waldo St. Nothing was reported missing.",42.388443354716244,-71.10451638534278
22035397,6/24,2022,First Half (4PM - Midnight),90Z,All Other Offenses,"All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",All Other Offenses,Other,250173515002008,2              ,August 1st 2022 - April 5th 2022 Crime News,6/24/22,4:03 PM,Attempted Residential Breaking and Entering,"Somerville Police responded to a residence on Webster Ave for report of a past attempted breaking and entering. Upon arrival, officers spoke with the reporting party who stated that a couple hours prior, she heard someone attempting to open her door.",42.37517127389458,-71.09448757956375
22035626,6/25,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173507023000,7              ,August 1st 2022 - April 5th 2022 Crime News,6/25/22,5:38 PM,Assault,"Somerville Police responded to Dilboy Field for report of an assault. Upon arrival, officers spoke with two juvenile victims who stated they were confronted by two juvenile males who threatened to fight them. During the confrontation, one of the juvenile suspects brandished a knife and started 22035544: The Somerville Police are interested in speaking with the individual shown below in relation to a residential breaking and entering that occurred at a residence on Fremont St on 6/24/22. The person of interest was described as a white male in his 40s with dark hair, goatee, grey t-shirt and black shorts. Anyone with information is asked to please contact the Somerville Police at 617-625-1600.",42.411000784052995,-71.13179250927665
22036028,6/28,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501061012,1              ,August 1st 2022 - April 5th 2022 Crime News,6/28/22,6:39 AM,Commercial Breaking and Entering,"Somerville Police responded to a business on Foley St for report of a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated when he arrived to the business in the morning; he observed the door latch unhooked and equipment missing.",42.39362943087034,-71.07982108611412
22036578,6/30,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173513001004,3              ,August 1st 2022 - April 5th 2022 Crime News,6/30/22,11:43 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Prescott St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated she was out of the house and when she returned, observed her door unlocked and a backpack missing.",42.385344675315324,-71.09916612560313
22036607,7/1,2022,Last Half (Midnight - 8AM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173511012005,3              ,August 1st 2022 - April 5th 2022 Crime News,7/1/22,3:16 AM,Assault,"Somerville Police responded to 33 Tower St for report of an assault. Upon arrival, officers spoke with the victim who stated while he was working near the dumpster, a male struck him in the head with a metal broom. The victim described the suspect as a white male in his 60s with gray hair, glasses and wearing just his underwear.",42.38997893574722,-71.10954835778396
22036749,7/1,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173501091002,4              ,August 1st 2022 - April 5th 2022 Crime News,7/1/22,7:15 PM,Armed Carjacking,"Somerville Police responded to 460 Mystic Ave for report of an armed carjacking. Upon arrival, officers spoke with two juvenile victims who stated they were riding a moped in the area of 460 Mystic Ave and were confronted by three male suspects. During the confrontation, one of the suspects brandished a firearm then stole the moped and fled down Mystic Ave toward McGrath Hwy. The other two suspects left in the same direction.",42.39569125969593,-71.09020335527103
22037099,7/3,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512033002,2              ,August 1st 2022 - April 5th 2022 Crime News,7/3/22,9:25 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Concord Ave for report of a past breaking and entering. Upon arrival, officers spoke with the victims who stated the door on their basement storage unit was pried open. Nothing was reported missing.",42.37605251966593,-71.10028494977585
22037502,7/6,2022,Last Half (Midnight - 8AM),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173396006009,5              ,August 1st 2022 - April 5th 2022 Crime News,7/6/22,3:28 AM,Armed Robbery,"officers responded to Albion St for report of an armed robbery. Upon arrival, officers spoke with the victim who stated an individual known to him assaulted him with a hammer then stole cash, an iPhone, Apple Watch and a gold necklace from him. The suspect then broke into the victim’s vehicle",42.39648748838785,-71.10053846445459
22037658,7/6,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501082003,4              ,August 1st 2022 - April 5th 2022 Crime News,7/7/22,11:57 PM,Assault / Larceny,"Somerville Police responded to a residence in the area of Broadway & Main St for report of a past assault. Upon arrival, officers spoke with the reporting party who stated earlier in the evening, her juvenile son was assaulted at the basketball court located in the Mystic Housing Development. Officers then spoke with her son who stated he got into an altercation with two males. During the altercation, the two male suspects punched him multiple times and stole his",42.39606125445362,-71.09909722473175
22039359,7/15,2022,Last Half (Midnight - 8AM),90Z,All Other Offenses,"All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",All Other Offenses,Other,250173501091011,4              ,August 1st 2022 - April 5th 2022 Crime News,7/15/22,2:30 AM,Attempted Armed Robbery,"Somerville Police responded to Jaques St for a check condition. Upon arrival, officers spoke with two juvenile males who stated they were approached by a male and female asking them for a lighter. When the juveniles stated they didn’t have one, one of the suspects brandished a knife and demanded they give them a lighter. Both suspects then fled up Grant St. Both suspects were described as being in their fifties, the male was wearing all black and the female",42.39391817253276,-71.09072611332319
22040236,7/19,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173512032000,2              ,August 1st 2022 - April 5th 2022 Crime News,7/19/22,8:35 PM,Assault,"Somerville Police responded to a shelter on Washington St for report of an assault. Upon arrival, officers spoke with the victim who stated she was involved in an argument with a female party. During the argument, the female party assaulted the victim causing the victim to injure her wrist",42.378961123171656,-71.09701406668219
22040254,7/19,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173514041004,1              ,August 1st 2022 - April 5th 2022 Crime News,7/19/22,10:13 PM,Assault,"Somerville Police responded to Myrtle St for report of an attempted larceny. Upon arrival, officers spoke with the victim who stated while walking home, he was approached by a black male riding a bike who demanded he give up his wallet. When the victim stated he didn’t have it, the suspect punched him in the face resulting in his teeth getting broken. The victim then continued home. The suspect was gone upon police arrival.",42.38300232035344,-71.08437973566464
22040978,7/23,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501081006,4              ,August 1st 2022 - April 5th 2022 Crime News,7/23/22,6:33 PM,Assault,"Somerville Police responded to a residence on Ash Ave for report of a past assault. Upon arrival, officers spoke with the reporting party who stated her juvenile daughter was assaulted by another juvenile female while she was the Foss Park pool earlier.",42.398399462610534,-71.09612968684173
22041150,7/24,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173513002003,3              ,August 1st 2022 - April 5th 2022 Crime News,7/24/22,10:23 PM,Assault,"Somerville Police responded to a residence on Walnut St for a weapons call. Upon arrival, officers spoke with the victim who stated a male party known to her pointed a gun in her face. Officers located the weapon and determined it to be a BB gun.",42.38401955595194,-71.09396788063643
22041832,7/28,2022,Day Shift (8AM - 4PM),35A,Drug/Narcotic Violations,"The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.",Drug/Narcotics Offenses,Crimes against Society,250173514041002,1              ,August 1st 2022 - April 5th 2022 Crime News,7/1/22,,Arrest,"there was an armed carjacking at 460 Mystic Ave. Through investigation, Detectives identified one of the individuals involved as Daniel VIVAS, 19, of Somerville. On 7/28/22, Detectives conducted surveillance and located VIVAS at the Florence Street Park where they proceeded to serve him with a search warrant. While searching his person, Detectives recovered a loaded Glock 29 firearm, six grams of crack cocaine and $1149 USC. VIVAS was arrested on firearm and narcotics charges as well as a Somerville warrant for armed carjacking and assault with a dangerous weapon. 22040504: Somerville Police are interested in speaking with the individual shown below in relation to an Indecent Assault that occurred on Medford St on 7/21/22. Anyone with information, please contact the Somerville Police Department at 617-625-1600. 22036028: Somerville Police are interested in speaking with the individual shown below in relation to a breaking and entering that occurred at a construction site on Foley St on 6/27/22. Anyone with information, please contact the Somerville Police Department at 22041994: Somerville Police are interested in speaking with the individual shown below in relation to a breaking and entering that occurred at a business on Medford St on 7/29/22 at approximately 5:18 AM. Anyone with information, please contact the",42.38302172667331,-71.0826593854383
22042164,7/30,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173514042003,1              ,August 1st 2022 - April 5th 2022 Crime News,7/30/22,1:15 AM,Commercial Breaking and Entering,"Somerville Police responded to a business on Pearl St for an alarm call. Upon arrival, officers observed the front door was smashed open. The owner of the business reported cigarettes and cash were stolen. Assault Log July 19 to July 25 2022",42.38657070243218,-71.09153435303928
22042497,7/31,2022,First Half (4PM - Midnight),90Z,All Other Offenses,"All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature.
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",All Other Offenses,Other,250173514033000,1              ,August 1st 2022 - April 5th 2022 Crime News,7/31/22,8:10 PM,Attempted Breaking and Entering,"Somerville Police responded to a residence on Arlington St for report an attempted breaking and entering. Upon arrival, officers spoke with the reporting party who stated she left her residence and when she returned, observed her keypad lock on her door was broken.",42.386379082542064,-71.08155871467801
22042867,8/2,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173502023004,4              ,October 3rd 2022 - August 2nd 2022 Crime News,8/2/22,4:43 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Dartmouth St for report of a breaking and entering in progress. Upon arrival, officers spoke with a victim who stated her son was walking home and was chased by a group of juveniles who were attempting to beat him up. The victim’s son arrived home and the juveniles began pushing on the door causing it to break off its hinges. The juvenile suspects fled when they heard police were being called then stole two bikes belonging to the son and his friend. Officers located the suspects nearby and",42.39244172064042,-71.09550215045839
22043708,8/6,2022,First Half (4PM - Midnight),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173512034001,2              ,October 3rd 2022 - August 2nd 2022 Crime News,8/6/22,8 PM,Robbery,"Somerville Police took a report of an individual who was robbed. The victim stated he parked his vehicle on Wyatt St then went to Whole Foods to purchase groceries. When the victim returned to his vehicle, he was approached by a male party who proceeded to punch him then steal his sandwich. The suspect then damaged the windshield on the victim’s vehicle. The suspect was described as a black male, 30-50 years old, with a beard, short dark hair and wearing a",42.37654469841293,-71.10136581251024
22043732,8/6,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173511012005,3              ,October 3rd 2022 - August 2nd 2022 Crime News,8/6/22,10:19 PM,Assault,"Somerville Police responded to Tower St for a past assault. Upon arrival, officers spoke with the victim who stated a juvenile was fighting another juvenile. When the victim intervened, one of the juveniles assaulted",42.38997893574722,-71.10954835778396
22043825,8/7,2022,Day Shift (8AM - 4PM),23F,Theft From Motor Vehicle,"The unlawful taking of articles from a motor vehicle, locked or unlocked.",Theft From Motor Vehicle,Crimes against Property,250173501051017,4              ,October 3rd 2022 - August 2nd 2022 Crime News,8/7/22,2:26 PM,Attempted Breaking and Entering,"Somerville Police responded to a residence on Governor Winthrop Rd for report of a breaking and entering that had just been attempted. Upon arrival, officers spoke with two witnesses who stated they observed a male party by the side of a house trying to break into the electric meter. The witnesses yelled at the suspect to leave and the suspect began yelling at back at them before eventually leaving the area. The witnesses also stated they observed the suspect smash the window of a vehicle in front of the house. The suspect was described as a white male with tattoos on his arm, wearing black shorts, black shirt, black backpack and",42.397056672468885,-71.08922750798796
22044701,8/11,2022,Day Shift (8AM - 4PM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173513001000,3              ,October 3rd 2022 - August 2nd 2022 Crime News,8/11/22,2:11 PM,Assault,a female party entered the station and reported that her juvenile son was assaulted by another juvenile male while at a summer school program. The juvenile victim suffered injuries to his eye and face.,42.38678657149992,-71.09626282263741
22044810,8/12,2022,Last Half (Midnight - 8AM),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173515001000,2              ,October 3rd 2022 - August 2nd 2022 Crime News,8/12/22,7:21 AM,Assault,"Somerville Police responded to Chestnut St for report of multiple people fighting. Upon arrival, officers attended to a male suffering from injuries to his head. The victim stated he was involved in a verbal",42.37740230898947,-71.08543720480225
22045074,8/13,2022,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173501081004,4              ,October 3rd 2022 - August 2nd 2022 Crime News,8/13/22,1:58 PM,Assault,"a female party and her juvenile son entered the station to report a past larceny and assault. Officers spoke with the juvenile victim who stated on 8/11/22, he was hanging out on Memorial Rd and was assaulted by two juvenile females. He also stated that two juvenile males took his hat and",42.397016088874196,-71.09405180712419
22045261,8/14,2022,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173512032006,2              ,October 3rd 2022 - August 2nd 2022 Crime News,8/14/22,3:51 PM,Assault,"Somerville Police responded to the area of Clark St & Newton St for report of a 911 hang up call. Upon arrival, officers spoke with the victim who stated she was attacked by two female parties known to her. The victim suffered injuries to her face.",42.37706788270556,-71.09674529013628
22045316,8/14,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173507023003,7              ,October 3rd 2022 - August 2nd 2022 Crime News,8/14/22,9:51 PM,Assault,"Somerville Housing Officers responded to a residence on North St for report of a past assault. Upon arrival, officers spoke with the victim who stated that prior to police arrival, she was beaten by two male",42.41055871070426,-71.1297521165264
22045676,8/16,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173514043000,1              ,October 3rd 2022 - August 2nd 2022 Crime News,8/16/22,3:01 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Glen St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated when he returned home from work, he noticed his door had been smashed in and several belongings were stolen.",42.38441444133131,-71.08542665605971
