Source,Case Number,Date,Time,Type,Description
"Crime Log June 10 to June 16, 2025",25032638,6/11/25,2:06 PM,Assault,"Somerville Police responded to Statue Park for an assault. Upon arrival, officer spoke with the victim who stated he was sitting on a bench and was punched in the face."
"Crime Log June 10 to June 16, 2025",25033851,6/16/25,9:10 PM,Assault,"Somerville Police responded to Perkins St for a check condition. Upon arrival, officers spoke with the victim who stated he was walking home and was sprayed with mace by an individual known to him."
"Crime Log June 10 to June 16, 2025",25033689,6/16/25,9:41 AM,Assault,"Somerville Police responded to Hudson St for a road rage incident. Upon arrival, officers spoke with the victim who stated he was involved in a traffic altercation with a male party. During the altercation, the male party began punching the victim then tried to drive off while the victim was on his vehicle. The victim suffered injuries to his leg and neck. Officers identified the suspect."
"Crime Log May 6 to May 12, 2025",25025533,5/8/25,9:36 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on North St for a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated a group of teenagers broke into the basement and were smoking marijuana. Nothing was reported stolen."
"Crime Log May 6 to May 12, 2025",25025203,5/7/25,6:33 PM,Arrest,"Somerville Police responded to the area of Cross St & Chester St for a check condition. Upon arrival, officers spoke with a witness who stated a male party was acting erratically and kicking people on bicycles. He then approached two other individuals and punched one of them then threatened to kill him. Officers were able to locate the male suspect nearby and he was placed under arrest."
"Crime Log May 6 to May 12, 2025",25026329,5/12/25,4:17 PM,Robbery,"Somerville Police responded to Glen St for an unarmed robbery. Upon arrival, officers spoke with the victim who stated he was sitting in the area of the Capuano School and was approached by two males. The males began talking to him then one of them grabbed his necklace and both suspects fled the area."
"Crime Log May 6 to May 12, 2025",25026340,5/12/25,5:01 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Garden Court for a past breaking and entering. Upon arrival, officers spoke with the victim who stated she observed her apartment door pried open then saw her living room in disarray. She reported multiple pieces of jewelry and gift cards were stolen."
"Crime Log May 6 to May 12, 2025",25026354,5/12/25,5:30 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Garden Court for a past breaking and entering. Upon arrival, officers spoke with the victim who stated her apartment was broken into and multiple pieces of jewelry and cash were stolen."
"Crime Log May 6 to May 12, 2025",25025674,5/9/25,2:03 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Franklin St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated his bicycle was stolen from inside his shed."
"Crime Log May 6 to May 12, 2025",25026279,5/12/25,12:19 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Alpine St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated his bicycle was stolen from his basement."
"Crime Log August 26 to September 1, 2025",25052648,8/27/25,4:04 AM,Commercial Breaking & Entering,"Somerville Police responded to a business on Lincoln St for a breaking and entering. Upon arrival, officers spoke with the owner who stated a male party entered the business and began rummaging through items. Nothing was reported missing."
"Crime Log August 26 to September 1, 2025",25052594,8/26/25,10:02 PM,Assault,"Somerville Police took a report regarding a past assault. The victim stated that while working with his boss, his boss threw a rock at him then tried to hit him with a hammer."
"Crime Log August 26 to September 1, 2025",25053555,8/30/25,5:51 PM,Assault,"Somerville Police responded to Autumn St & Broadway for a fight. Upon arrival, officers observed multiple juveniles fighting in the street. Officers confiscated a knife from one of the juveniles."
"Crime Log July 15 to July 21, 2025",25043372,7/22/25,9:30 PM,Shots Fired,Somerville Police responded to Grand Union Blvd in Assembly Row for a report of shots fired. Officers spoke with a male party who stated his vehicle was struck by multiple rounds of gunfire. Numerous shell casings were recovered. No injuries were reported.
"Crime Log July 15 to July 21, 2025",25040107,7/10/25,11:06 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Grove St for report of a past breaking and entering. Upon arrival, officer spoke with the victim who stated she left her home and when she returned, noticed the back door ajar and items in the bathroom were displaced. The victim also reported cash was stolen."
"Crime Log July 15 to July 21, 2025",25039326,7/8/25,12:01 AM,Arrest,"Somerville Police responded to a business on Broadway for report of a B&E. Upon arrival, officers spoke with the clerk who stated he received alarms indicating the front door was open. Surveillance footage showed a male party inside the business stealing various items. Officers were given a suspect description and located a male party nearby matching the description. He was placed under arrest."
"Crime Log July 15 to July 21, 2025",25035694,6/24/25,11:58 PM,Unarmed Robbery,"Somerville Police responded to Gilman St for report of an assault. Upon arrival, officers spoke with the victim who stated he was attacked by four males and one of them stole money from him."
"Crime Log July 15 to July 21, 2025",25034056,6/17/25,11:00 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Greenwood Terrace for a past breaking and entering. Upon arrival, officers spoke with the victim who stated two bicycles were missing from his enclosed porch."
"Crime Log August 12 to August 18, 2025",25049522,8/14/25,3:41 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Flint St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated a male party entered her shed and stole a tool."
"Crime Log August 12 to August 18, 2025",25049672,8/15/25,8:37 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Evergreen Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated he left his apartment and when he returned, noticed his front door was kicked in. Nothing was reported missing."
"Crime Log August 12 to August 18, 2025",25049464,8/14/25,11:20 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Adam St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke the glass door to the apartments. Nothing was reported missing."
"Crime Log August 12 to August 18, 2025",25049030,8/12/25,8:43 PM,Robbery,"Somerville Police responded to the Cambridge Hospital to speak with a victim of a robbery. Upon arrival, the victim stated he was in Davis Sq and was approached by two males who demanded money then attacked him. The suspects stole his phone and cash. Officers identified the suspects."
"Crime Log August 12 to August 18, 2025",25049020,8/12/25,7:56 PM,Assault,"Somerville Police responded to Bromfield Rd for a weapons call. Upon arrival, officers spoke with the victim who stated she was walking down Warner St and was shot with an airsoft gun by a passing vehicle. No injuries were reported. Officers identified the suspect."
"Crime Log August 12 to August 18, 2025",25050007,8/16/25,2:33 PM,Assault,"Somerville Police responded to a business in Assembly Row for a larceny. Upon arrival, officers spoke with an employee who stated a male party entered the store and proceeded to steal several items. The male then pushed the employee and threw items at her."
"Crime Log August 12 to August 18, 2025",25049819,8/15/25,6:36 PM,Assault,"Somerville Police took a report from a female party regarding a past assault. She stated that while in Davis Sq with her child, a male smashed a bottle on the ground and shards of glass cut her child."
"Crime Log August 12 to August 18, 2025",25050175,8/17/25,4:52 AM,Assault,"Somerville Police responded to an apartment complex on Broadway for a past assault. Upon arrival, officers spoke with the victim who stated he was smoking a cigarette in the basement and was attacked by four females and two males."
"Crime Log August 12 to August 18, 2025",25050446,8/18/25,11:44 AM,Arrest,"Somerville Police responded to a hotel on Somerville Ave after a housekeeper located drugs inside a room. While officers were talking with staff, the guests returned to the room. Officers then entered the room and observed two males inside. Officers recovered 48 grams of methamphetamine and 14 grams of crack cocaine. Both male parties were placed under arrest."
"Crime Log September 9 to September 15, 2025",25056584,9/11/25,6:13 PM,Assault,"Somerville Police responded to a business in Assembly Row for a dispute. Upon arrival, officers spoke with the victim who stated a female party came into the store and proceeded to shoplift. When the victim confronted her, the suspect assaulted her. The suspect then called her son to the store and he began attacking the victim as well."
"Crime Log September 9 to September 15, 2025",25056031,9/9/25,3:11 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Highland Ave for a breaking and entering. Upon arrival, officers spoke with the victim who stated he left his apartment and when he returned, noticed his wallet was missing."
"Crime Log September 9 to September 15, 2025",25056042,9/9/25,4:17 PM,Arrest,"Somerville Police responded to a residence on Gilman St for a suspicious person. Upon arrival, officers spoke with a neighbor who stated a male ran through his yard and into the driveway of a nearby house. Officers located the male party in the basement of the residence and he was placed under arrest."
"Crime Log September 9 to September 15, 2025",25057044,9/13/25,6:34 PM,Robbery,"Somerville Police responded to a business on Broadway for a robbery. Upon arrival, officers spoke with an employee who stated a male party came into the store and asked for cigarettes. When the clerk turned around, the suspect brandished a knife and demanded money in the register."
"Crime Log September 9 to September 15, 2025",25057018,9/13/25,4:38 PM,Assault,"Somerville Police responded to a parking garage in Assembly for an assault. Upon arrival, officers spoke with the victim who stated she honked her horn at a male party. After doing so, the male grabbed a bat from his car and approached the victim then left the area."
"Crime Log September 9 to September 15, 2025",25057076,9/13/25,11:23 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Chester St for a breaking and entering. Upon arrival, officers spoke with the victim who stated he left his door open and someone broke in and stole his wallet and other items."
"Crime Log September 9 to September 15, 2025",25056991,9/13/25,1:15 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Orchard St for a breaking and entering. Upon arrival, officers spoke with the victim who stated her bike was stolen from her enclosed porch."
"Crime Log September 9 to September 15, 2025",25056787,9/12/25,3:30 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Watson St for a breaking and entering. Upon arrival, officers spoke with the victim who stated her bike was stolen from her enclosed porch."
"Crime Log June 17 to June 23, 2025",25034056,6/17/25,11:00 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Greenwood Terrace for a past breaking and entering. Upon arrival, officers spoke with the victim who stated two bicycles were missing from his enclosed porch."
"Crime Log June 17 to June 23, 2025",25034037,6/17/25,7:42 PM,Unarmed Robbery,"Somerville Police responded to a business on Canal St for a larceny. Upon arrival, officers spoke with the victim who stated a female party came into the store and began to shoplift items. When the victim confronted her, she shoved him to the ground and fled with the stolen items."
"Crime Log June 17 to June 23, 2025",25035121,6/22/25,5:49 PM,Assault,"Somerville Police responded to Innerbelt Rd for a dispute. Upon arrival, officers spoke with two females who stated they got into a fight with each other."
"Crime Log June 17 to June 23, 2025",25035038,6/22/25,10:04 AM,Assault,"Somerville Police responded to a business on Broadway for a larceny. Upon arrival, officers spoke with the victim who stated a female party came in and got into a dispute over damaged laundry. The female then stole cash from the register and assaulted the victim before fleeing. Officers identified the female suspect."
"Crime Log June 17 to June 23, 2025",25035329,6/23/25,6:20 PM,Unarmed Robbery,"Somerville Police responded to a business in Assembly Row for a larceny. Upon arrival, officers spoke with the victim who stated a male came in and began to shoplift. The victim confronted the male and the male shoved him and fled with the stolen items."
"Crime Log April 29 to May 5, 2025",25023443,4/29/25,11:42 AM,Residential Breaking and Entering,"Somerville Police responded to a residence on Nevada Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke into his home and stole credit cards from his wallet."
"Crime Log April 29 to May 5, 2025",25023906,5/1/25,2:20 PM,Arrest,"Somerville Police responded to a business on Somerville Ave for report of someone trying to enter a vehicle. Upon arrival, officers spoke with the victim who stated a male party tried to enter her vehicle in the parking lot. The male then ran across the street to a gas station and brandished a knife at another individual. He was then apprehended by officers and placed under arrest."
"Crime Log April 29 to May 5, 2025",25024574,5/4/25,7:24 PM,Assault,"Somerville Police responded to Foley St for report of a past assault. Upon arrival, officers spoke with the victim who stated she was standing on the sidewalk holding up a sign and was approached by two individuals and one of them grabbed her."
"Crime Log April 29 to May 5, 2025",25024504,5/4/25,11:22 AM,Assault,"Somerville Police responded to Hanson St for a fight. Upon arrival, officers located a male party suffering from injuries to his head and nose. Officers spoke with a witness who stated he observed the victim arguing with another male and was then pushed."
"Crime Log September 16 to September 22, 2025",25057929,9/17/25,10:20 PM,Commercial Breaking & Entering,"Somerville Police responded to a business on Broadway for a breaking and entering. Upon arrival, officers observed the front door and window were broken. Nothing was reported missing."
"Crime Log September 16 to September 22, 2025",25058118,9/18/25,5:19 PM,Assault,"Somerville Police responded to Medford St for an assault. Upon arrival, officers spoke with the victim who stated he got into a traffic altercation with another male who attacked him. Officers identified the suspect."
"Crime Log September 16 to September 22, 2025",25058558,9/20/25,7:52 PM,Robbery,"Somerville Police responded to a business on Broadway for a robbery. Upon arrival, officers spoke with two employees who stated a male party entered the store then brandished a knife and demanded money from the register."
"Crime Log September 16 to September 22, 2025",25058305,9/19/25,2:55 PM,Arrest,"Somerville Police responded to 79 Highland Ave for a report of a juvenile male who displayed a gun. Upon arrival, officers spoke with the victim who stated he was involved in a verbal altercation with the juvenile suspect. During the altercation, the juvenile suspect displayed a gun then punched the victim before fleeing the area. After a brief pursuit, officers apprehended the suspect and placed him under arrest."
"Crime Log September 16 to September 22, 2025",25058211,9/19/25,8:57 AM,Assault,"Somerville Police responded to a business on Broadway for report of an assault. Upon arrival, officers spoke with an employee who stated a male party entered the store then became angry and threw a drink at him."
"Crime Log August 5 to August 11, 2025",25047169,8/5/25,6:34 PM,Assault,"Somerville Police responded to Willow Ave for a road rage incident. Upon arrival, officers spoke with two male parties who stated they got into a traffic dispute then began fighting each other."
"Crime Log August 5 to August 11, 2025",25048690,8/11/25,5:43 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Elm St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone entered his garage and stole a bicycle."
"Crime Log August 5 to August 11, 2025",25048615,8/11/25,1:16 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Jaques St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone reached trough an open window of her apartment and stole a laptop."
"Crime Log August 5 to August 11, 2025",25048708,8/11/25,6:46 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Lexington Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone entered his garage and stole a bicycle."
"Crime Log August 5 to August 11, 2025",25047910,8/8/25,2:39 PM,Residential Breaking & Entering,"Somerville Housing Police responded to a residence on College Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated there was damage to his apartment door and several items inside were tampered with."
"Crime Log July 22 to August 4, 2025",25045287,7/29/25,4:08 PM,Armed Robbery,"Somerville Police responded to a business on Broadway for report of a robbery. Upon arrival, officers spoke with an employee who stated a male party entered the store and asked to buy cigarettes. He then brandished a knife at the employee and demanded money inside the register. The male then fled the area."
"Crime Log July 22 to August 4, 2025",25045555,7/30/25,1:26 PM,Assault,"Somerville Police responded to Broadway for a past assault. Upon arrival, officers spoke with the juvenile victim who stated on 7/25/25, she was approached by a male party who proceeded to grab her arm. The juvenile pulled her arm away and fled the area."
"Crime Log July 22 to August 4, 2025",25046453,8/3/25,12:50 AM,Robbery,"Somerville Police responded to Broadway for a larceny. Upon arrival, officers spoke with the victim who stated she was walking home and was approached by a male party who grabbed her chain off her neck then fled on a bicycle."
"Crime Log July 22 to August 4, 2025",25046275,8/2/25,11:00 AM,Assault,"Somerville Police responded to Elm St for a fight. Upon arrival, officers spoke with two males who stated they got into a fight with each other."
"Crime Log June 3 to June 9, 2025",25030911,6/3/25,9:35 PM,Arrest,"Somerville Police responded to Elm St for a check condition. Upon arrival, officers spoke with the male who stated he was suffering from complications from his dialysis treatments. Officers began walking with the him to the bus station and were then approached by another male party who spit on the male and officer. Officers stopped the suspect and he was placed under arrest."
"Crime Log June 3 to June 9, 2025",25031641,6/6/25,10:16 PM,Assault,"Somerville Police responded to a business in Davis Sq for an assault. Upon arrival, officers spoke with the victim who stated he confronted a male party for shoplifting and was then punched by the male."
"Crime Log June 3 to June 9, 2025",25032031,6/8/25,6:21 PM,Arrest,"Somerville Police responded to a business on Foley St for an assault. Upon arrival, officers spoke with the reporting party who pointed to a male and stated he was screaming at people and threw a drink at a bartender. Officers then placed the male suspect under arrest."
"Crime Log May 13 to May 19, 2025",25026955,5/15/25,8:27 AM,Arrest,"Somerville Police responded to a residence on Browning Rd for a breaking and entering. Upon arrival, officers spoke with the victim who stated he recently purchased the property and when he arrived at the house, he observed a male party inside the house yelling at him. Officers located the male suspect and he was placed under arrest."
"Crime Log May 13 to May 19, 2025",25027953,5/19/25,9:37 PM,Arrest,"Somerville Police responded to a residence on Perkins St for an injured person. Upon arrival, officers observed a male party bleeding who stated he was stabbed with a knife by a male known to him. Officers entered the residence and located the male suspect; he was then placed under arrest."
"Crime Log June 10 to June 16, 2025",25032638,6/11/25,2:06 PM,Assault,"Somerville Police responded to Statue Park for an assault. Upon arrival, officer spoke with the victim who stated he was sitting on a bench and was punched in the face."
"Crime Log June 10 to June 16, 2025",25030911,6/3/25,9:35 PM,Arrest,"Somerville Police responded to Elm St for a check condition. Upon arrival, officers spoke with the male who stated he was suffering from complications from his dialysis treatments. Officers began walking with the him to the bus station and were then approached by another male party who spit on the male and officer. Officers stopped the suspect and he was placed under arrest."
"Crime Log June 10 to June 16, 2025",25028347,5/21/25,8:44 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on South St for an attempted breaking and entering. Upon arrival, officers spoke with the victim who stated she heard noises in the kitchen then observed a rear door open and damage to the door frame. Nothing was reported missing."
"Crime Log October 21 to October 27, 2025",25065663,10/21/25,12:19 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Lincoln St for report of a breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke into her residence and stole cash and jewelry."
"Crime Log October 21 to October 27, 2025",25066025,10/23/25,4:51 AM,Commercial Breaking and Entering,"Somerville Police responded to a business on Broadway for report of a breaking and entering. Upon arrival, officers spoke with the victim who stated a male party smashed the window to his store and stole cigarettes."
"Crime Log October 21 to October 27, 2025",25067110,10/27/25,5:51 PM,Residential Breaking and Entering,Somerville Police took a report regarding a past breaking and entering. The victim stated someone broke into his basement and stole a bicycle.
"Crime Log October 21 to October 27, 2025",25066669,10/25/25,6:05 PM,Residential Breaking and Entering,"Somerville Police responded to a vacant residence on Elm St for a breaking and entering. Upon arrival, officers observed three individuals inside the residence sleeping. All individuals were identified."
"Crime Log October 21 to October 27, 2025",25066454,10/24/25,6:54 PM,Assault,"Somerville Police responded to a business in Davis Sq for an assault. Upon arrival, officers spoke with an employee who stated she got into an argument with a female customer. During the argument, the female threw a bag of candy at her."
"Crime Log May 6 to May 12, 2025",25025533,5/8/25,9:36 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on North St for a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated a group of teenagers broke into the basement and were smoking marijuana. Nothing was reported stolen."
"Crime Log May 6 to May 12, 2025",25023443,4/29/25,11:42 AM,Residential Breaking and Entering,"Somerville Police responded to a residence on Nevada Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke into his home and stole credit cards from his wallet."
"Crime Log October 14 to October 20, 2025",25064383,10/15/25,2:40 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Broadway for report of a breaking and entering. Upon arrival, officers spoke with the residents who stated a male party entered their apartment and stole numerous belongings."
"Crime Log October 14 to October 20, 2025",25064581,10/16/25,10:56 AM,Assault,"Somerville Police responded to Park St for a check condition. Upon arrival, officers spoke with the victim who stated he was involved in a road rage altercation with a female party. During the altercation, the female brandished a knife at the victim. Officers identified the female suspect."
"Crime Log October 14 to October 20, 2025",25065239,10/19/25,2:16 PM,Assault,"Somerville Police responded to Jaques St for a dispute. Upon arrival, officers spoke with the victim who stated she was approached by a male and female inside Foss Park. The female party then attempted to hit the victim."
"Crime Log August 19 to August 25, 2025",25051033,8/20/25,4:44 PM,Assault,"Somerville Police responded to a business on Mystic Ave for report of juveniles coming into the store and causing disturbances. Upon arrival, officers spoke with an employee who stated a juvenile male threw a package of soup at him. Officers identified the juvenile suspect."
"Crime Log August 19 to August 25, 2025",25049522,8/14/25,3:41 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Flint St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated a male party entered her shed and stole a tool."
"Crime Log August 19 to August 25, 2025",25047169,8/5/25,6:34 PM,Assault,"Somerville Police responded to Willow Ave for a road rage incident. Upon arrival, officers spoke with two male parties who stated they got into a traffic dispute then began fighting each other."
"Crime Log August 19 to August 25, 2025",25045287,7/29/25,4:08 PM,Armed Robbery,"Somerville Police responded to a business on Broadway for report of a robbery. Upon arrival, officers spoke with an employee who stated a male party entered the store and asked to buy cigarettes. He then brandished a knife at the employee and demanded money inside the register. The male then fled the area."
"Crime Log August 19 to August 25, 2025",25043403,7/23/25,12:40 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Perkins St for a past breaking and entering. Upon arrival, spoke with the victims who stated they observed a male party opening up their apartment window and attempting to enter. The male party then fled the area."
"Crime Log September 2 to September 8, 2025",25054381,9/3/25,5:59 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Quincy St for a breaking and entering. Upon arrival, officers spoke with the victim who stated he was sleeping and awoke to an individual standing over him. The suspect then fled out of the house. Nothing was reported missing."
"Crime Log September 2 to September 8, 2025",25054261,9/2/25,4:13 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Wallace St for a breaking and entering. Upon arrival, officers spoke with the victim who stated a lock on his door was damaged and he believes someone broke into his home. Nothing was reported missing."
"Crime Log September 2 to September 8, 2025",25054457,9/3/25,11:12 AM,Commercial Breaking & Entering,"Somerville Police responded to a business on Columbia St for a breaking and entering. Upon arrival, officers spoke with the owner who stated the business is permanently closed and when he entered, observed two males sleeping inside. Nothing was reported missing."
"Crime Log September 2 to September 8, 2025",25055243,9/6/25,11:23 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Alewife Brook Pkwy for a breaking and entering. Upon arrival, officers spoke with the reporting party who stated he entered his mothers apartment and noticed that several pieces of jewelry were missing."
"Crime Log September 2 to September 8, 2025",25055363,9/6/25,7:47 PM,Assault,"Somerville Police responded to a business on Canal St for a shoplifting. Upon arrival, officers spoke with the victim who stated a group of juveniles entered the store and proceeded to steal various items. Two of the juveniles then assaulted the clerk while leaving."
"Crime Log September 2 to September 8, 2025",25055467,9/7/25,3:50 AM,Assault,"Somerville Police responded to Davis Sq for an assault. Upon arrival, officers spoke with the victim who stated he was walking through Davis Sq and a male party began throwing bricks at him then hit him in the head with a stick."
"Crime Log August 19 to August 25, 2025",25051033,8/20/25,4:44 PM,Assault,"Somerville Police responded to a business on Mystic Ave for report of juveniles coming into the store and causing disturbances. Upon arrival, officers spoke with an employee who stated a juvenile male threw a package of soup at him. Officers identified the juvenile suspect."
"Crime Log August 19 to August 25, 2025",25050849,8/19/25,8:44 PM,Assault,"Somerville Police responded to Broadway for report of an assault. Upon arrival, officers spoke with the victim who stated while walking on Alewife Brook Pkwy, he was approached by a male party who punched him in the face."
"Crime Log August 19 to August 25, 2025",25051954,8/24/25,11:46 AM,Assault,Somerville Police were flagged down on Allen St. The reporting party stated his son was playing in the park next to the community garden and was sprayed with a hose by a female party.
"Crime Log August 19 to August 25, 2025",25051684,8/23/25,2:28 AM,Assault,"Somerville Police responded to Davis Sq for a past assault. Upon arrival, officers spoke with the victim who stated a female assaulted him with a brick."
"Crime Log August 19 to August 25, 2025",25051531,8/22/25,2:55 PM,Assault,"Somerville Police responded to College Ave for a past assault. Upon arrival, officers spoke with the victim who stated he was walking on the sidewalk and saw a bike blocking the way. When he moved the bike, a juvenile male began to attack him. The victim suffered injuries to his lip."
"Crime Log August 19 to August 25, 2025",25051891,8/22/25,2:58 AM,Arrest,"Somerville Police responded to a business on Bow St for a breaking and entering. Upon arrival, officers observed two male parties inside. One of the males was then placed under arrest."
"Crime Log June 24 to June 30, 2025",25035694,6/24/25,11:58 PM,Unarmed Robbery,"Somerville Police responded to Gilman St for report of an assault. Upon arrival, officers spoke with the victim who stated he was attacked by four males and one of them stole money from him."
"Crime Log June 24 to June 30, 2025",25036121,6/26/25,5:30 PM,Arrest,"Somerville Police responded to a business in Assembly Row for report of an assault. Upon arrival, officers spoke with a security guard who stated a male party shoplifted from a store then punched her multiple times when confronted. Officers located the male suspect and he was placed under arrest."
"Crime Log June 24 to June 30, 2025",25036335,6/27/25,11:02 AM,Assault,"Somerville Police responded to Walnut St for an assault. Upon arrival, officers spoke with the victim who stated he was doing work outside and a vehicle sped by and almost hit him causing him to spill water onto the car. A male and female then exited the vehicle and confronted the victim, the male party then pepper sprayed the victim and both he and the female re-entered the vehicle and left the area."
"Crime Log June 24 to June 30, 2025",25036813,6/28/25,8:30 PM,Assault,"Somerville Police responded to Assembly Row for a weapons call. Upon arrival, officers spoke with two male parties who stated they were in a confrontation with each other. During the confrontation, one of the males brandished a knife and the other male struck him with a tire iron."
"Crime Log July 22 to July 28, 2025",25043403,7/23/25,12:40 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Perkins St for a past breaking and entering. Upon arrival, spoke with the victims who stated they observed a male party opening up their apartment window and attempting to enter. The male party then fled the area."
"Crime Log July 22 to July 28, 2025",25043962,7/23/25,3:17 PM,Assault,"Somerville Police responded to Summer St for report of a past assault. Upon arrival, officers spoke with the victim who stated he is a cab driver and got into an argument with a female passenger. During the argument, the female hit the victim twice and damaged his vehicle."
"Crime Log July 22 to July 28, 2025",25044992,7/28/25,9:54 PM,Assault,"Somerville Police responded to a hotel on Foley St for report of an assault. Upon arrival, officers spoke with the victim who stated she heard commotion outside of her room and was then approached by a female party who punched her in the face."
"Crime Log July 22 to July 28, 2025",25044788,7/27/25,9:48 PM,Assault,"Somerville Police responded to the Somerville Hospital for a past assault. Upon arrival, officers spoke with a nurse who stated a male juvenile punched her in the face. Officers identified the suspect."
"Crime Log July 22 to July 28, 2025",25044753,7/27/25,6:47 PM,Robbery,"Somerville Police took a report from a female party regarding a past robbery. She stated that earlier in Davis Sq, she was attacked and robbed of her bag by an individual unknown to her."
"Crime Log July 22 to July 28, 2025",25044185,7/25/25,5:17 PM,Arrest,"Somerville Police responded to Broadway for a check condition. Upon arrival, officers spoke with the victim who stated she got into an altercation with a male party known to her. During the altercation, the male party struck her with a metal cane. Officers located the suspect nearby and he was placed under arrest."
"Crime Log July 22 to July 28, 2025",25044773,7/27/25,7:59 PM,Arrest,"Somerville Police responded to Broadway for a past assault. Upon arrival, officers spoke with the juvenile victim who stated she was walking home and was approached by a female party who began yelling at her then pepper sprayed her. Officers located the female suspect and she was placed under arrest."
"Crime Log July 15 to July 21, 2025",25043372,7/22/25,9:30 PM,Shots Fired,Somerville Police responded to Grand Union Blvd in Assembly Row for a report of shots fired. Officers spoke with a male party who stated his vehicle was struck by multiple rounds of gunfire. Numerous shell casings were recovered. No injuries were reported.
"Crime Log July 15 to July 21, 2025",25042069,7/18/25,12:28 AM,Shots Fired,"Somerville Police responded to 40 River Rd for a report of multiple shots fired and a vehicle fleeing the area. On scene, officers recovered 34 shell casings consisting of three different calibers. No injuries were reported."
"Crime Log July 15 to July 21, 2025",25041449,7/15/25,11:20 PM,Commercial Breaking & Entering,"Somerville Police responded to a business on Somerville Ave for a breaking and entering. Upon arrival, officers observed the front window shattered and numerous merchandise products scattered along the street."
"Crime Log July 15 to July 21, 2025",25041512,7/16/25,8:04 AM,Assault,"Somerville Police took a report from a male party regarding a past assault. He stated that around 7:30 AM, he got involved in a traffic altercation with a bicyclist. During the altercation, the bicyclist brandished a knife at him."
"Crime Log July 15 to July 21, 2025",25041319,7/15/25,12:45 PM,Assault,"Somerville Police responded to Holland St for report of a fight. Upon arrival, officers spoke with the victim who stated he was approached by a male party who began to yell profanities at him then pushed him."
"Crime Log July 15 to July 21, 2025",25043174,7/22/25,8:05 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Broadway for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated the house is under construction and a fridge was stolen."
"Crime Log July 15 to July 21, 2025",25043208,7/22/25,9:39 AM,Assault,"Somerville Police responded to a business in Davis Sq for a dispute. Upon arrival, officers spoke with the victim who stated she got into an altercation with a female party. During the altercation, the female punched her in the face. Officers identified the suspect."
"Crime Log July 8 to July 14, 2025",25040107,7/10/25,11:06 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Grove St for report of a past breaking and entering. Upon arrival, officer spoke with the victim who stated she left her home and when she returned, noticed the back door ajar and items in the bathroom were displaced. The victim also reported cash was stolen."
"Crime Log July 8 to July 14, 2025",25040457,7/12/25,4:58 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Aberdeen St for report of a suspicious person. Upon arrival, officers spoke with a neighbor who stated he observed a male party entering a property that’s under construction then leaving in a vehicle full of items. Officers canvassed the area, located the vehicle and identified the suspect."
