"Incident Number","Day and Month Reported","Year Reported","Police Shift","Offense Code","Offense Type","Offense Definition","Offense Sub-Category","Offense Category","Block Code","Ward"
"100002156",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002157",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002158",,"2019",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002159",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002160",,"2020",,"11A - 11D, 36A, 36B","Sex Offenses","Any sexual act directed against another person, without the consent of the victim, including instances where the victim is incapable of giving consent. Offenses include Rape, Sodomy, Sexual Assault with an Object, Fondling, Incest, Statutory Rape","Sex Offenses","Crimes against Person",,
"100002161",,"2018",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002162",,"2023",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002163",,"2017",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002165",,"2022",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002166",,"2021",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002168",,"2024",,"991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other",,
"100002170",,"2019",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002172",,"2020",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002173",,"2020",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002174",,"2023",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"100002175",,"2019",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002176",,"2021",,"11A - 11D, 36A, 36B","Sex Offenses","Any sexual act directed against another person, without the consent of the victim, including instances where the victim is incapable of giving consent. Offenses include Rape, Sodomy, Sexual Assault with an Object, Fondling, Incest, Statutory Rape","Sex Offenses","Crimes against Person",,
"100002178",,"2021",,"370","Pornography/Obscene Material","The violation of laws or ordinances prohibiting the manufacture, publishing (publication), distributing (distribution), sale, purchase, or possession of sexually explicit material deemed legally obscene.","Pornography/Obscene Material","Crimes against Society",,
"100002179",,"2019",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002180",,"2017",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002181",,"2019",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002183",,"2017",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002184",,"2024",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002186",,"2021",,"13C","Intimidation","To unlawfully place another person in reasonable fear of harm through the use of threatening words and/or other conduct without displaying a dangerous weapon or subjecting the victim to an actual physical attack.","Assault Offenses","Crimes against Person",,
